Division,Event_Unique_Id,Homicide_Type,Hood_ID,Neighbourhood,ObjectId,Occurrence_Date,Occurrence_year,_id,geometry
D53,111878,Other,97,Yonge-St.Clair (97),1,2004-01-03T00:00:00,2004,1,"{'type': 'Point', 'coordinates': (-79.392814, 43.68502592)}"
D42,125755,Shooting,137,Woburn (137),2,2004-01-08T00:00:00,2004,2,"{'type': 'Point', 'coordinates': (-79.23384908, 43.78174501)}"
D42,136086,Shooting,132,Malvern (132),3,2004-01-08T00:00:00,2004,3,"{'type': 'Point', 'coordinates': (-79.2068545, 43.81085356)}"
D13,148623,Shooting,93,Dovercourt-Wallace Emerson-Junction (93),4,2004-01-25T00:00:00,2004,4,"{'type': 'Point', 'coordinates': (-79.43436062, 43.6704717)}"
D42,148619,Shooting,131,Rouge (131),5,2004-01-25T00:00:00,2004,5,"{'type': 'Point', 'coordinates': (-79.20382249, 43.82353918)}"
D31,152518,Stabbing,26,Downsview-Roding-CFB (26),6,2004-02-20T00:00:00,2004,6,"{'type': 'Point', 'coordinates': (-79.50859475, 43.72091645)}"
D31,172092,Shooting,26,Downsview-Roding-CFB (26),7,2004-02-21T00:00:00,2004,7,"{'type': 'Point', 'coordinates': (-79.50894007, 43.72236515)}"
D23,133635,Other,2,Mount Olive-Silverstone-Jamestown (2),8,2004-02-21T00:00:00,2004,8,"{'type': 'Point', 'coordinates': (-79.59282796, 43.74311454)}"
D42,218803,Shooting,132,Malvern (132),9,2004-03-03T00:00:00,2004,9,"{'type': 'Point', 'coordinates': (-79.22755784, 43.8162641)}"
D41,200779,Shooting,120,Clairlea-Birchmount (120),10,2004-03-04T00:00:00,2004,10,"{'type': 'Point', 'coordinates': (-79.28668911, 43.70008354)}"
D42,218585,Shooting,129,Agincourt North (129),11,2004-03-03T00:00:00,2004,11,"{'type': 'Point', 'coordinates': (-79.26646318, 43.80802563)}"
D41,229133,Stabbing,137,Woburn (137),12,2004-03-13T00:00:00,2004,12,"{'type': 'Point', 'coordinates': (-79.24162034, 43.76793345)}"
D53,219659,Other,32,Englemount-Lawrence (32),13,2004-03-18T01:00:00,2004,13,"{'type': 'Point', 'coordinates': (-79.42744802, 43.70973929)}"
D42,219687,Other,137,Woburn (137),14,2004-03-24T01:00:00,2004,14,"{'type': 'Point', 'coordinates': (-79.22528368, 43.75982126)}"
D51,256410,Other,73,Moss Park (73),15,2004-04-01T01:00:00,2004,15,"{'type': 'Point', 'coordinates': (-79.37099208, 43.65829436)}"
D23,250857,Shooting,5,Elms-Old Rexdale (5),16,2004-04-13T00:00:00,2004,16,"{'type': 'Point', 'coordinates': (-79.5505259, 43.72509835)}"
D23,350484,Shooting,2,Mount Olive-Silverstone-Jamestown (2),17,2004-05-01T00:00:00,2004,17,"{'type': 'Point', 'coordinates': (-79.57924831, 43.73524273)}"
D54,301868,Shooting,58,Old East York (58),18,2004-03-03T00:00:00,2004,18,"{'type': 'Point', 'coordinates': (-79.32874138, 43.69594155)}"
D31,311851,Shooting,24,Black Creek (24),19,2004-05-15T00:00:00,2004,19,"{'type': 'Point', 'coordinates': (-79.51872198, 43.76916389)}"
D22,311870,Stabbing,20,Alderwood (20),20,2004-05-19T00:00:00,2004,20,"{'type': 'Point', 'coordinates': (-79.54410522, 43.59431222)}"
D51,374867,Shooting,72,Regent Park (72),21,2004-05-21T00:00:00,2004,21,"{'type': 'Point', 'coordinates': (-79.36296147, 43.660087000000004)}"
D23,408720,Other,3,Thistletown-Beaumond Heights (3),22,2004-05-21T00:00:00,2004,22,"{'type': 'Point', 'coordinates': (-79.57792509, 43.73682962)}"
D13,374908,Other,31,Yorkdale-Glen Park (31),23,2004-05-20T00:00:00,2004,23,"{'type': 'Point', 'coordinates': (-79.45700365, 43.7101653)}"
D11,418221,Other,86,Roncesvalles (86),24,2004-05-25T00:00:00,2004,24,"{'type': 'Point', 'coordinates': (-79.43871159, 43.64246141)}"
D51,456650,Other,73,Moss Park (73),25,2004-06-01T00:00:00,2004,25,"{'type': 'Point', 'coordinates': (-79.37469468, 43.66068103)}"
D14,455137,Shooting,85,South Parkdale (85),26,2004-06-04T00:00:00,2004,26,"{'type': 'Point', 'coordinates': (-79.42808998, 43.63598082)}"
D51,456829,Stabbing,73,Moss Park (73),27,2004-06-18T00:00:00,2004,27,"{'type': 'Point', 'coordinates': (-79.36941977, 43.65452491)}"
D31,510813,Shooting,23,Pelmo Park-Humberlea (23),28,2004-06-19T00:00:00,2004,28,"{'type': 'Point', 'coordinates': (-79.53607958, 43.7110303)}"
D31,564223,Shooting,24,Black Creek (24),29,2004-07-01T00:00:00,2004,29,"{'type': 'Point', 'coordinates': (-79.52262842, 43.77214167)}"
D41,565547,Stabbing,121,Oakridge (121),30,2004-07-05T00:00:00,2004,30,"{'type': 'Point', 'coordinates': (-79.27576084, 43.69953959)}"
D22,565561,Stabbing,16,Stonegate-Queensway (16),31,2004-07-07T00:00:00,2004,31,"{'type': 'Point', 'coordinates': (-79.48521322, 43.63015323)}"
D51,3363634,Shooting,17,Mimico (includes Humber Bay Shores) (17),32,2009-08-04T00:00:00,2009,32,"{'type': 'Point', 'coordinates': (-79.49455, 43.61045439)}"
D31,564251,Stabbing,113,Weston (113),33,2004-07-08T00:00:00,2004,33,"{'type': 'Point', 'coordinates': (-79.50530573, 43.7084158)}"
D32,565588,Stabbing,37,Willowdale West (37),34,2004-07-09T00:00:00,2004,34,"{'type': 'Point', 'coordinates': (-79.41240726, 43.76747172)}"
D33,592201,Shooting,48,Hillcrest Village (48),35,2004-07-21T00:00:00,2004,35,"{'type': 'Point', 'coordinates': (-79.35629696, 43.8008594)}"
D11,593866,Other,90,Junction Area (90),36,2004-07-23T00:00:00,2004,36,"{'type': 'Point', 'coordinates': (-79.46761441, 43.66325179)}"
D51,594159,Shooting,77,Waterfront Communities-The Island (77),37,2004-07-24T00:00:00,2004,37,"{'type': 'Point', 'coordinates': (-79.36665279, 43.65068091)}"
D41,3348714,Shooting,124,Kennedy Park (124),38,2009-08-05T00:00:00,2009,38,"{'type': 'Point', 'coordinates': (-79.2543267, 43.73534099)}"
D11,607864,Other,93,Dovercourt-Wallace Emerson-Junction (93),39,2004-08-05T00:00:00,2004,39,"{'type': 'Point', 'coordinates': (-79.45335604, 43.66332053000001)}"
D23,3515443,Shooting,1,West Humber-Clairville (1),40,2009-08-10T00:00:00,2009,40,"{'type': 'Point', 'coordinates': (-79.59295932, 43.73805921)}"
D31,616055,Stabbing,113,Weston (113),41,2004-08-18T00:00:00,2004,41,"{'type': 'Point', 'coordinates': (-79.50379913, 43.70287945)}"
D23,3523004,Shooting,2,Mount Olive-Silverstone-Jamestown (2),42,2009-08-16T00:00:00,2009,42,"{'type': 'Point', 'coordinates': (-79.58812551, 43.74631642)}"
D13,605174,Stabbing,108,Briar Hill-Belgravia (108),43,2004-08-19T00:00:00,2004,43,"{'type': 'Point', 'coordinates': (-79.44106893, 43.7022538)}"
D55,3448946,Shooting,69,Blake-Jones (69),44,2009-09-02T00:00:00,2009,44,"{'type': 'Point', 'coordinates': (-79.33814773, 43.6724497)}"
D42,592255,Shooting,134,Highland Creek (134),45,2004-08-30T00:00:00,2004,45,"{'type': 'Point', 'coordinates': (-79.15774084, 43.79384641)}"
D51,3576028,Shooting,77,Waterfront Communities-The Island (77),46,2009-09-05T00:00:00,2009,46,"{'type': 'Point', 'coordinates': (-79.36785245, 43.6503944)}"
D51,635798,Other,75,Church-Yonge Corridor (75),47,2004-08-30T00:00:00,2004,47,"{'type': 'Point', 'coordinates': (-79.37267618, 43.65234821)}"
D33,3269913,Shooting,49,Bayview Woods-Steeles (49),48,2009-09-07T00:00:00,2009,48,"{'type': 'Point', 'coordinates': (-79.36908237, 43.79129462)}"
D31,642839,Stabbing,22,Humbermede (22),49,2004-08-31T00:00:00,2004,49,"{'type': 'Point', 'coordinates': (-79.54675254, 43.74912481)}"
D23,642110,Shooting,6,Kingsview Village-The Westway (6),50,2004-09-05T00:00:00,2004,50,"{'type': 'Point', 'coordinates': (-79.56140409, 43.70064099)}"
D23,650681,Shooting,1,West Humber-Clairville (1),51,2004-09-21T00:00:00,2004,51,"{'type': 'Point', 'coordinates': (-79.61423505, 43.732190450000004)}"
D11,633558,Other,27,York University Heights (27),52,2004-09-22T00:00:00,2004,52,"{'type': 'Point', 'coordinates': (-79.49236064, 43.74532769)}"
D55,676448,Other,70,South Riverdale (70),53,2004-10-08T00:00:00,2004,53,"{'type': 'Point', 'coordinates': (-79.33723662, 43.66056273)}"
D31,683174,Shooting,28,Rustic (28),54,2004-10-15T00:00:00,2004,54,"{'type': 'Point', 'coordinates': (-79.50051289, 43.71126878)}"
D53,696852,Other,99,Mount Pleasant East (99),55,2004-10-27T00:00:00,2004,55,"{'type': 'Point', 'coordinates': (-79.37854379, 43.70102052)}"
D13,697185,Other,92,Corso Italia-Davenport (92),56,2004-11-12T00:00:00,2004,56,"{'type': 'Point', 'coordinates': (-79.44742948, 43.67521918)}"
D14,734705,Stabbing,93,Dovercourt-Wallace Emerson-Junction (93),57,2004-12-01T00:00:00,2004,57,"{'type': 'Point', 'coordinates': (-79.4286816, 43.66930437)}"
D14,734705,Stabbing,93,Dovercourt-Wallace Emerson-Junction (93),58,2004-12-01T00:00:00,2004,58,"{'type': 'Point', 'coordinates': (-79.4286816, 43.66930437)}"
D42,735933,Other,133,Centennial Scarborough (133),59,2004-12-02T00:00:00,2004,59,"{'type': 'Point', 'coordinates': (-79.16907557, 43.7813256)}"
D54,734029,Stabbing,58,Old East York (58),60,2004-12-03T00:00:00,2004,60,"{'type': 'Point', 'coordinates': (-79.32874138, 43.69594155)}"
D11,643900,Other,87,High Park-Swansea (87),61,2004-10-21T00:00:00,2004,61,"{'type': 'Point', 'coordinates': (-79.47283239, 43.65187981)}"
D33,735980,Stabbing,40,St.Andrew-Windfields (40),62,2004-12-11T00:00:00,2004,62,"{'type': 'Point', 'coordinates': (-79.38493038, 43.7521505)}"
D14,730198,Stabbing,78,Kensington-Chinatown (78),63,2004-12-11T00:00:00,2004,63,"{'type': 'Point', 'coordinates': (-79.40180671, 43.65765229)}"
D54,775505,Stabbing,54,O'Connor-Parkview (54),64,2004-12-12T00:00:00,2004,64,"{'type': 'Point', 'coordinates': (-79.30895013, 43.70868002)}"
D51,736004,Shooting,75,Church-Yonge Corridor (75),65,2004-12-19T00:00:00,2004,65,"{'type': 'Point', 'coordinates': (-79.37883347, 43.66067091000001)}"
D41,811677,Shooting,124,Kennedy Park (124),66,2004-12-19T00:00:00,2004,66,"{'type': 'Point', 'coordinates': (-79.25647668, 43.73074594)}"
D54,730003,Shooting,44,Flemingdon Park (44),67,2004-12-20T00:00:00,2004,67,"{'type': 'Point', 'coordinates': (-79.32774009, 43.71262111)}"
D42,860547,Stabbing,123,Cliffcrest (123),68,2004-12-31T00:00:00,2004,68,"{'type': 'Point', 'coordinates': (-79.23587695, 43.73537962)}"
