Division,Homicide_Type,Hood_ID,Neighbourhood,Occurrence_Date,Occurrence_year
D53,Other,97,Yonge-St.Clair (97),2004-01-03T00:00:00Z,2004
D42,Shooting,137,Woburn (137),2004-01-08T00:00:00Z,2004
D42,Shooting,132,Malvern (132),2004-01-08T00:00:00Z,2004
D13,Shooting,93,Dovercourt-Wallace Emerson-Junction (93),2004-01-25T00:00:00Z,2004
D42,Shooting,131,Rouge (131),2004-01-25T00:00:00Z,2004
D31,Stabbing,26,Downsview-Roding-CFB (26),2004-02-20T00:00:00Z,2004
D31,Shooting,26,Downsview-Roding-CFB (26),2004-02-21T00:00:00Z,2004
D23,Other,2,Mount Olive-Silverstone-Jamestown (2),2004-02-21T00:00:00Z,2004
D42,Shooting,132,Malvern (132),2004-03-03T00:00:00Z,2004
D41,Shooting,120,Clairlea-Birchmount (120),2004-03-04T00:00:00Z,2004
D42,Shooting,129,Agincourt North (129),2004-03-03T00:00:00Z,2004
D41,Stabbing,137,Woburn (137),2004-03-13T00:00:00Z,2004
D53,Other,32,Englemount-Lawrence (32),2004-03-18T01:00:00Z,2004
D42,Other,137,Woburn (137),2004-03-24T01:00:00Z,2004
D51,Other,73,Moss Park (73),2004-04-01T01:00:00Z,2004
D23,Shooting,5,Elms-Old Rexdale (5),2004-04-13T00:00:00Z,2004
D23,Shooting,2,Mount Olive-Silverstone-Jamestown (2),2004-05-01T00:00:00Z,2004
D54,Shooting,58,Old East York (58),2004-03-03T00:00:00Z,2004
D31,Shooting,24,Black Creek (24),2004-05-15T00:00:00Z,2004
D22,Stabbing,20,Alderwood (20),2004-05-19T00:00:00Z,2004
D51,Shooting,72,Regent Park (72),2004-05-21T00:00:00Z,2004
D23,Other,3,Thistletown-Beaumond Heights (3),2004-05-21T00:00:00Z,2004
D13,Other,31,Yorkdale-Glen Park (31),2004-05-20T00:00:00Z,2004
D11,Other,86,Roncesvalles (86),2004-05-25T00:00:00Z,2004
D51,Other,73,Moss Park (73),2004-06-01T00:00:00Z,2004
D14,Shooting,85,South Parkdale (85),2004-06-04T00:00:00Z,2004
D51,Stabbing,73,Moss Park (73),2004-06-18T00:00:00Z,2004
D31,Shooting,23,Pelmo Park-Humberlea (23),2004-06-19T00:00:00Z,2004
D31,Shooting,24,Black Creek (24),2004-07-01T00:00:00Z,2004
D41,Stabbing,121,Oakridge (121),2004-07-05T00:00:00Z,2004
D22,Stabbing,16,Stonegate-Queensway (16),2004-07-07T00:00:00Z,2004
D51,Shooting,17,Mimico (includes Humber Bay Shores) (17),2009-08-04T00:00:00Z,2009
D31,Stabbing,113,Weston (113),2004-07-08T00:00:00Z,2004
D32,Stabbing,37,Willowdale West (37),2004-07-09T00:00:00Z,2004
D33,Shooting,48,Hillcrest Village (48),2004-07-21T00:00:00Z,2004
D11,Other,90,Junction Area (90),2004-07-23T00:00:00Z,2004
D51,Shooting,77,Waterfront Communities-The Island (77),2004-07-24T00:00:00Z,2004
D41,Shooting,124,Kennedy Park (124),2009-08-05T00:00:00Z,2009
D11,Other,93,Dovercourt-Wallace Emerson-Junction (93),2004-08-05T00:00:00Z,2004
D23,Shooting,1,West Humber-Clairville (1),2009-08-10T00:00:00Z,2009
D31,Stabbing,113,Weston (113),2004-08-18T00:00:00Z,2004
D23,Shooting,2,Mount Olive-Silverstone-Jamestown (2),2009-08-16T00:00:00Z,2009
D13,Stabbing,108,Briar Hill-Belgravia (108),2004-08-19T00:00:00Z,2004
D55,Shooting,69,Blake-Jones (69),2009-09-02T00:00:00Z,2009
